trial_id,accuracy,trial_duration_in_seconds,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,0.4805,59.08137011528015,1.7380323835220134e-05,0.06,4,16,0.05,"['q_lin', 'v_lin']"
2,0.7765,57.8195903301239,0.00014661166924708366,0.0,16,32,0.0,"['q_lin', 'v_lin']"
3,0.8665,67.10492491722107,0.0002624101420363496,0.1,2,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,0.877,67.31258893013,0.00021175713890473515,0.06,2,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,0.798,59.47001671791077,0.00020299722600565143,0.1,24,16,0.05,"['q_lin', 'v_lin']"
6,0.719,67.52730798721313,3.5949963464902265e-05,0.1,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
7,0.7565,67.76633071899414,7.028627437105845e-05,0.1,24,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
8,0.827,59.0800347328186,0.00017544329516258232,0.0,8,96,0.0,"['q_lin', 'v_lin']"
9,0.8965,67.8816545009613,0.0004285692149531543,0.06,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
10,0.8495,59.65947604179382,0.00042005272242123966,0.1,4,16,0.05,"['q_lin', 'v_lin']"
11,0.6865,67.8285562992096,3.1988714230176405e-05,0.1,24,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
12,0.851,59.519871950149536,0.0002309611737990495,0.1,16,96,0.1,"['q_lin', 'v_lin']"
13,0.8275,59.77057361602783,0.00022227414943467615,0.06,16,64,0.2,"['q_lin', 'v_lin']"
14,0.8665,59.30230355262756,0.0004940021851700813,0.0,4,32,0.0,"['q_lin', 'v_lin']"
15,0.831,59.35672879219055,0.00023946758466426862,0.1,8,96,0.2,"['q_lin', 'v_lin']"
16,0.7885,59.72956347465515,0.00018703734578113845,0.1,2,16,0.1,"['q_lin', 'v_lin']"
17,0.6905,59.69537925720215,0.00010683337949563464,0.1,4,8,0.05,"['q_lin', 'v_lin']"
18,0.5615,59.36793899536133,4.68816068891953e-05,0.1,16,8,0.05,"['q_lin', 'v_lin']"
19,0.8155,66.57635235786438,0.00014529332452333828,0.0,8,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
20,0.798,65.9621160030365,9.49440682721317e-05,0.0,8,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
