trial_id,accuracy,trial_duration_in_seconds,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,0.4505,59.70625352859497,1.475204349230672e-05,0.06,4,16,0.05,"['q_lin', 'v_lin']"
2,0.6775,58.67219400405884,6.435599425645636e-05,0.0,16,32,0.0,"['q_lin', 'v_lin']"
3,0.771,68.69338631629944,0.00010880389290284127,0.1,2,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,0.7675,68.67405462265015,8.936132604424178e-05,0.06,2,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,0.6895,59.682368993759155,8.599893523449246e-05,0.1,24,16,0.05,"['q_lin', 'v_lin']"
6,0.6425,67.9174792766571,2.1879783956225113e-05,0.1,16,96,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
7,0.664,68.15786910057068,3.505937804141638e-05,0.1,24,32,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
8,0.7195,59.135170459747314,7.542267895129422e-05,0.0,8,96,0.0,"['q_lin', 'v_lin']"
9,0.878,68.31125044822693,0.00017258212291131175,0.06,4,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
10,0.7825,59.850900411605835,0.00016931316618188998,0.1,4,16,0.05,"['q_lin', 'v_lin']"
11,0.596,68.11939859390259,2.0359304451986905e-05,0.1,24,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
12,0.774,59.46731472015381,9.673257176125132e-05,0.1,16,96,0.1,"['q_lin', 'v_lin']"
13,0.7575,58.993141412734985,9.339815836886559e-05,0.06,16,64,0.2,"['q_lin', 'v_lin']"
14,0.8055,59.474709033966064,0.00019769780844912214,0.0,4,32,0.0,"['q_lin', 'v_lin']"
15,0.756,59.702903747558594,9.999765876002229e-05,0.1,8,96,0.2,"['q_lin', 'v_lin']"
16,0.6905,60.10470652580261,7.987292060286122e-05,0.1,2,16,0.1,"['q_lin', 'v_lin']"
17,0.5585,59.16806960105896,4.908755980640522e-05,0.1,4,8,0.05,"['q_lin', 'v_lin']"
18,0.515,58.46130037307739,2.6075768300903248e-05,0.1,16,8,0.05,"['q_lin', 'v_lin']"
19,0.6945,66.31876707077026,6.384996294835207e-05,0.0,8,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
20,0.689,66.41120672225952,4.452398580142429e-05,0.0,8,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
